Gene,Annotation,Presence_pattern,Functional_category,M5_locus,M6_locus,M8_locus,I6_locus,In_novel_region
truA,tRNA pseudouridine(38-40) synthase TruA,core,ribosomal_translation,NKFIDM_05721,KMIGAE_05721,ILIHOP_05721,cds-WP_124333534.1,no
sdhB,succinate dehydrogenase iron-sulfur subunit,core,metabolism_enzyme,NKFIDM_05238,KMIGAE_05238,ILIHOP_05238,cds-WP_036627639.1,no
group_2714,Nucleotidyltransferase domain protein,core,metabolism_enzyme,NKFIDM_05168,KMIGAE_05168,ILIHOP_05168,cds-WP_036620252.1,no
group_2713,HTH araC/xylS-type domain-containing protein,core,regulatory,NKFIDM_05137,KMIGAE_05137,ILIHOP_05137,cds-WP_036620314.1,no
group_2712,Glycosyl transferase 2 family protein,core,metabolism_enzyme,NKFIDM_05106,KMIGAE_05106,ILIHOP_05106,cds-WP_051985308.1,no
group_2711,Esterase family protein,core,metabolism_enzyme,NKFIDM_03676,KMIGAE_03676,ILIHOP_03676,cds-WP_036622459.1,no
group_2710,ABC transporter permease,core,transport,NKFIDM_03532,KMIGAE_03532,ILIHOP_03532,cds-WP_124331991.1,no
group_2709,5-oxoprolinase subunit A,core,other,NKFIDM_03439,KMIGAE_03439,ILIHOP_03439,cds-WP_036622739.1,no
group_2707,Helix-turn-helix domain protein,core,other,NKFIDM_01494,KMIGAE_01494,ILIHOP_01494,cds-WP_036625382.1,no
group_2706,ABC transporter family protein,core,transport,NKFIDM_01020,KMIGAE_01020,ILIHOP_01020,cds-WP_240752393.1,no
group_2703,NlpC/P60 family protein,core,other,NKFIDM_05540,KMIGAE_05540,ILIHOP_05540,cds-WP_124333466.1,no
fliR,flagellar biosynthetic protein FliR,core,cell_envelope_motility,NKFIDM_03774,KMIGAE_03774,ILIHOP_03774,cds-WP_155621500.1,no
group_2702,RNA polymerase sigma factor,core,regulatory,NKFIDM_03763,KMIGAE_03763,ILIHOP_03763,cds-WP_240751827.1,no
group_2701,Sugar (And other) transporter family protein,core,transport,NKFIDM_02405,KMIGAE_02405,ILIHOP_02405,3_refound_52,no
group_2700,Transporter substrate-binding domain-containing protein,core,transport,NKFIDM_01480,KMIGAE_01480,ILIHOP_01480,cds-WP_036625415.1,no
group_2699,ABC transporter permease subunit,core,transport,NKFIDM_00258,KMIGAE_00258,ILIHOP_00258,cds-WP_051985792.1,no
group_2698,TatD DNase family protein,core,other,NKFIDM_00047,KMIGAE_00047,ILIHOP_00047,cds-WP_036618145.1,no
group_2696,Short chain dehydrogenase family protein,core,metabolism_enzyme,NKFIDM_03256,KMIGAE_03256,ILIHOP_03256,cds-WP_155620049.1,no
group_2695,CobQ/CobB/MinD/ParA nucleotide binding domain protein,core,other,NKFIDM_02598,KMIGAE_02598,ILIHOP_02598,cds-WP_240751658.1,no
group_2694,ABC transporter family protein,core,transport,NKFIDM_01684,KMIGAE_01684,ILIHOP_01684,cds-WP_036625044.1,no
group_2693,ABC transporter family protein,core,transport,NKFIDM_01578,KMIGAE_01578,ILIHOP_01578,cds-WP_036625227.1,no
group_2692,SDR family NAD(P)-dependent oxidoreductase,core,metabolism_enzyme,NKFIDM_01423,KMIGAE_01423,ILIHOP_01423,cds-WP_036625495.1,no
mutG,Lantibiotic protection ABC transporter permease subunit MutG family protein,core,transport,NKFIDM_01372,KMIGAE_01372,ILIHOP_01372,cds-WP_155619994.1,no
group_2691,TPM domain-containing protein,core,other,NKFIDM_00423,KMIGAE_00423,ILIHOP_00423,cds-WP_036626851.1,no
group_2690,MurR/RpiR family transcriptional regulator,core,regulatory,NKFIDM_00301,KMIGAE_00301,ILIHOP_00301,cds-WP_227877178.1,no
group_2688,metal-dependent hydrolase,core,metabolism_enzyme,NKFIDM_00765,KMIGAE_00765,ILIHOP_00765,cds-WP_082207946.1,no
yxeM,Putative amino-acid-binding protein yxeM,core,other,NKFIDM_06636,KMIGAE_06636,ILIHOP_06636,cds-WP_036618301.1,no
group_2687,Thiazole synthase,core,metabolism_enzyme,NKFIDM_04475,KMIGAE_04475,ILIHOP_04475,cds-WP_036621172.1,no
group_2686,Helix-turn-helix domain protein,core,other,NKFIDM_03628,KMIGAE_03628,ILIHOP_03628,cds-WP_036622537.1,no
group_2685,DUF1129 domain-containing protein,core,hypothetical_DUF,NKFIDM_02867,KMIGAE_02867,ILIHOP_02867,cds-WP_124333479.1,no
group_2684,ABC transporter family protein,core,transport,NKFIDM_02409,KMIGAE_02409,ILIHOP_02409,cds-WP_036623967.1,no
group_2683,SDR family NAD(P)-dependent oxidoreductase,core,metabolism_enzyme,NKFIDM_01718,KMIGAE_01718,ILIHOP_01718,cds-WP_036624991.1,no
group_2682,ABC transporter ATP-binding protein,core,transport,NKFIDM_06180,KMIGAE_06180,ILIHOP_06180,cds-WP_373281405.1,no
group_2681,ABC transporter family protein,core,transport,NKFIDM_06548,KMIGAE_06548,ILIHOP_06548,cds-WP_036618437.1,no
group_2680,Formyl transferase family protein,core,metabolism_enzyme,NKFIDM_05908,KMIGAE_05908,ILIHOP_05908,cds-WP_124333333.1,no
group_2679,Alpha/beta fold hydrolase,core,metabolism_enzyme,NKFIDM_05530,KMIGAE_05530,ILIHOP_05530,cds-WP_036619734.1,no
group_2678,Cobalt transport family protein,core,other,NKFIDM_05132,KMIGAE_05132,ILIHOP_05132,cds-WP_036620325.1,no
group_2677,Glycosyl transferase 2 family protein,core,metabolism_enzyme,NKFIDM_05107,KMIGAE_05107,ILIHOP_05107,cds-WP_124333104.1,no
minD,septum site-determining protein MinD,core,other,NKFIDM_05022,KMIGAE_05022,ILIHOP_05022,cds-WP_036620505.1,no
group_2675,Phosphatidate cytidylyltransferase,core,metabolism_enzyme,NKFIDM_03753,KMIGAE_03753,ILIHOP_03753,cds-WP_124332731.1,no
group_2674,ABC transporter family protein,core,transport,NKFIDM_03638,KMIGAE_03638,ILIHOP_03638,cds-WP_036622521.1,no
group_2673,DUF3100 domain-containing protein,core,hypothetical_DUF,NKFIDM_03376,KMIGAE_03376,ILIHOP_03376,cds-WP_124332044.1,no
group_2672,HAD family hydrolase,core,metabolism_enzyme,NKFIDM_03097,KMIGAE_03097,ILIHOP_03097,cds-WP_115311188.1,no
group_2671,Helix-turn-helix domain protein,core,other,NKFIDM_02649,KMIGAE_02649,ILIHOP_02649,cds-WP_240751661.1,no
group_2669,Putative pyruvate phosphate dikinase regulatory protein,core,metabolism_enzyme,NKFIDM_01936,KMIGAE_01936,ILIHOP_01936,cds-WP_036624500.1,no
murI,glutamate racemase,core,other,NKFIDM_01666,KMIGAE_01666,ILIHOP_01666,cds-WP_213510500.1,no
group_2668,Double zinc ribbon family protein,core,other,NKFIDM_00865,KMIGAE_00865,ILIHOP_00865,cds-WP_036626329.1,no
group_2665,Transglutaminase domain-containing protein,core,other,NKFIDM_06538,KMIGAE_06538,ILIHOP_06538,cds-WP_036618470.1,no
deoR,DeoR family transcriptional regulator,core,regulatory,NKFIDM_06399,KMIGAE_06399,ILIHOP_06399,cds-WP_036618755.1,no
phnC,phosphonate ABC transporter ATP-binding protein,core,transport,NKFIDM_06284,KMIGAE_06284,ILIHOP_06284,cds-WP_036618958.1,no
gerD,spore germination lipoprotein GerD,core,sporulation,NKFIDM_05713,KMIGAE_05713,ILIHOP_05713,cds-WP_155621139.1,no
group_2662,GTP cyclohydrolase 1 type 2-like protein,core,metabolism_enzyme,NKFIDM_03471,KMIGAE_03471,ILIHOP_03471,cds-WP_036622687.1,no
group_2661,ABC transporter family protein,core,transport,NKFIDM_02780,KMIGAE_02780,ILIHOP_02780,cds-WP_036623738.1,no
group_2660,Dioxygenase,core,other,NKFIDM_01090,KMIGAE_01090,ILIHOP_01090,cds-WP_036625816.1,no
group_2659,Cobalt transport family protein,core,other,NKFIDM_00845,KMIGAE_00845,ILIHOP_00845,cds-WP_036626359.1,no
group_2658,DUF1775 domain-containing protein,core,hypothetical_DUF,NKFIDM_00665,KMIGAE_00665,ILIHOP_00665,cds-WP_036626525.1,no
group_2657,Stage 0 sporulation protein,core,sporulation,NKFIDM_00041,KMIGAE_00041,ILIHOP_00041,cds-WP_036618153.1,no
group_2656,flagellar motor protein MotB,core,cell_envelope_motility,NKFIDM_00121,KMIGAE_00121,ILIHOP_00121,cds-WP_155621386.1,no
group_2654,ABC transporter family protein,core,transport,NKFIDM_06470,KMIGAE_06470,ILIHOP_06470,cds-WP_036618629.1,no
rfbF,glucose-1-phosphate cytidylyltransferase,core,metabolism_enzyme,NKFIDM_05903,KMIGAE_05903,ILIHOP_05903,cds-WP_036619349.1,no
group_2653,NAD kinase,core,metabolism_enzyme,NKFIDM_05441,KMIGAE_05441,ILIHOP_05442,cds-WP_036627564.1,no
group_2650,ABC 3 transport family protein,core,other,NKFIDM_04146,KMIGAE_04146,ILIHOP_04146,cds-WP_036621704.1,no
dapB,4-hydroxy-tetrahydrodipicolinate reductase,core,regulatory,NKFIDM_03962,KMIGAE_03962,ILIHOP_03962,cds-WP_124332674.1,no
group_2649,ABC transporter permease,core,transport,NKFIDM_03533,KMIGAE_03533,ILIHOP_03533,cds-WP_124331990.1,no
group_2648,SDR family NAD(P)-dependent oxidoreductase,core,metabolism_enzyme,NKFIDM_02957,KMIGAE_02957,ILIHOP_02957,cds-WP_155620596.1,no
group_2647,SIS domain-containing protein,core,other,NKFIDM_02402,KMIGAE_02402,ILIHOP_02402,cds-WP_051985535.1,no
group_2646,ABC transporter permease subunit,core,transport,NKFIDM_02226,KMIGAE_02226,ILIHOP_02226,cds-WP_036624104.1,no
group_2644,DUF624 domain-containing protein,core,hypothetical_DUF,NKFIDM_02126,KMIGAE_02126,ILIHOP_02126,cds-WP_036624261.1,no
group_2643,Helix-turn-helix domain protein,core,other,NKFIDM_01469,KMIGAE_01469,ILIHOP_01469,cds-WP_227872731.1,no
group_2642,ABC transporter family protein,core,transport,NKFIDM_00691,KMIGAE_00691,ILIHOP_00691,cds-WP_036626491.1,no
motA,flagellar motor stator protein MotA,core,cell_envelope_motility,NKFIDM_00122,KMIGAE_00122,ILIHOP_00122,cds-WP_036618041.1,no
group_2641,Metallo-beta-lactamase domain-containing protein,core,other,NKFIDM_06645,KMIGAE_06645,ILIHOP_06645,cds-WP_036618289.1,no
group_2640,ABC transporter permease subunit,core,transport,NKFIDM_06469,KMIGAE_06469,ILIHOP_06469,cds-WP_036618633.1,no
group_2639,phosphonate ABC transporter permease protein PhnE,core,transport,NKFIDM_06286,KMIGAE_06286,ILIHOP_06286,cds-WP_115311326.1,no
group_2638,Ferric iron reductase FhuF-like transporter family protein,core,transport,NKFIDM_06135,KMIGAE_06135,ILIHOP_06135,cds-WP_036627405.1,no
group_2637,Binding--dependent transport system inner membrane component family protein,core,other,NKFIDM_05592,KMIGAE_05592,ILIHOP_05592,cds-WP_036619663.1,no
group_2636,Spermidine synthase,core,metabolism_enzyme,NKFIDM_05461,KMIGAE_05461,ILIHOP_05461,cds-WP_082207677.1,no
spo0A,sporulation transcription factor Spo0A,core,sporulation,NKFIDM_04108,KMIGAE_04108,ILIHOP_04108,cds-WP_036621785.1,no
group_2634,Transglutaminase-like superfamily protein,core,other,NKFIDM_03897,KMIGAE_03897,ILIHOP_03897,cds-WP_124332690.1,no
group_2633,Fumarylacetoacetate (FAA) hydrolase family protein,core,metabolism_enzyme,NKFIDM_02832,KMIGAE_02832,ILIHOP_02832,cds-WP_124333704.1,no
group_2632,SGNH hydrolase-type esterase domain-containing protein,core,metabolism_enzyme,NKFIDM_02797,KMIGAE_02797,ILIHOP_02797,cds-WP_124332932.1,no
group_2631,GTP cyclohydrolase 1 type 2-like protein,core,metabolism_enzyme,NKFIDM_02311,KMIGAE_02311,ILIHOP_02311,cds-WP_036624041.1,no
group_2630,HAD hydrolase IIB family protein,core,metabolism_enzyme,NKFIDM_02296,KMIGAE_02296,ILIHOP_02296,cds-WP_036624053.1,no
group_2629,Type II secretion system (T2SS) F family protein,core,other,NKFIDM_01630,KMIGAE_01630,ILIHOP_01630,cds-WP_155620552.1,no
group_2628,Arsenite methyltransferase,core,metabolism_enzyme,NKFIDM_00777,KMIGAE_00777,ILIHOP_00777,cds-WP_036626410.1,no
group_2627,Binding--dependent transport system inner membrane component family protein,core,other,NKFIDM_00241,KMIGAE_00241,ILIHOP_00241,cds-WP_036627096.1,no
group_2624,Histidinol-phosphatase,core,metabolism_enzyme,NKFIDM_05148,KMIGAE_05148,ILIHOP_05148,cds-WP_036620282.1,no
group_2623,Response regulator,core,other,NKFIDM_04184,KMIGAE_04184,ILIHOP_04184,cds-WP_240751866.1,no
group_2622,Formate/nitrite transporter family protein,core,transport,NKFIDM_04162,KMIGAE_04162,ILIHOP_04162,cds-WP_036621672.1,no
group_2621,GNAT family N-acetyltransferase,core,metabolism_enzyme,NKFIDM_02709,KMIGAE_02709,ILIHOP_02709,cds-WP_036623798.1,no
group_2619,Tetratricopeptide repeat family protein,core,regulatory,NKFIDM_01043,KMIGAE_01043,ILIHOP_01043,cds-WP_036625914.1,no
nadE,ammonia-dependent NAD(+) synthetase,core,other,NKFIDM_00923,KMIGAE_00923,ILIHOP_00923,cds-WP_036626240.1,no
group_2618,ABC transporter permease protein,core,transport,NKFIDM_00415,KMIGAE_00415,ILIHOP_00415,cds-WP_124333410.1,no
group_2617,MerR family transcriptional regulator,core,regulatory,NKFIDM_04321,KMIGAE_04321,ILIHOP_04321,cds-WP_036621414.1,no
group_2616,Short chain dehydrogenase family protein,core,metabolism_enzyme,NKFIDM_03669,KMIGAE_03669,ILIHOP_03669,cds-WP_115311278.1,no
group_2614,Carbon-nitrogen hydrolase family protein,core,metabolism_enzyme,NKFIDM_02734,KMIGAE_02734,ILIHOP_02734,cds-WP_155621429.1,no
group_2613,MIP channel s family protein,core,other,NKFIDM_01887,KMIGAE_01887,ILIHOP_01887,cds-WP_036624582.1,no
group_2612,DUF4130 domain-containing protein,core,hypothetical_DUF,NKFIDM_01687,KMIGAE_01687,ILIHOP_01687,cds-WP_036625037.1,no
group_2611,Cof-like hydrolase family protein,core,metabolism_enzyme,NKFIDM_01668,KMIGAE_01668,ILIHOP_01668,cds-WP_036625068.1,no
group_2610,Polymerase nucleotidyl transferase domain-containing protein,core,metabolism_enzyme,NKFIDM_01221,KMIGAE_01221,ILIHOP_01221,cds-WP_124331883.1,no
group_2608,Transporter,core,transport,NKFIDM_00578,KMIGAE_00578,ILIHOP_00578,cds-WP_036626621.1,no
phnE,phosphonate ABC transporter permease protein PhnE,core,transport,NKFIDM_06285,KMIGAE_06285,ILIHOP_06285,cds-WP_036618955.1,no
pdaB,polysaccharide deacetylase family sporulation protein PdaB,core,sporulation,NKFIDM_05711,KMIGAE_05711,ILIHOP_05711,cds-WP_036619569.1,no
group_2605,protein-glutamate O-methyltransferase,core,metabolism_enzyme,NKFIDM_04810,KMIGAE_04810,ILIHOP_04810,cds-WP_240751997.1,no
group_2603,Lipase family protein,core,other,NKFIDM_02312,KMIGAE_02312,ILIHOP_02312,cds-WP_036624040.1,no
group_2602,RelA/SpoT domain-containing protein,core,other,NKFIDM_02146,KMIGAE_02146,ILIHOP_02146,cds-WP_036624241.1,no
racE,glutamate racemase,core,other,NKFIDM_02050,KMIGAE_02050,ILIHOP_02050,cds-WP_155621068.1,no
group_2601,pyridoxal kinase,core,metabolism_enzyme,NKFIDM_01973,KMIGAE_01973,ILIHOP_01973,cds-WP_240752547.1,no
group_2600,Binding--dependent transport system inner membrane component family protein,core,other,NKFIDM_01731,KMIGAE_01731,ILIHOP_01731,cds-WP_155620520.1,no
group_2599,Aminoglycoside N(3)-acetyltransferase,core,metabolism_enzyme,NKFIDM_01555,KMIGAE_01555,ILIHOP_01555,cds-WP_036625263.1,no
group_2598,Fructosamine kinase frlD,core,metabolism_enzyme,NKFIDM_01363,KMIGAE_01363,ILIHOP_01363,cds-WP_036625577.1,no
group_2597,DUF6138 domain-containing protein,core,hypothetical_DUF,NKFIDM_01034,KMIGAE_01034,ILIHOP_01034,cds-WP_240752395.1,no
group_2596,Pyrroline-5-carboxylate reductase,core,metabolism_enzyme,NKFIDM_00929,KMIGAE_00929,ILIHOP_00929,cds-WP_036626227.1,no
hisIE,bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE,core,metabolism_enzyme,NKFIDM_00187,KMIGAE_00187,ILIHOP_00187,cds-WP_051985800.1,no
group_2594,OmpR/PhoB-type domain-containing protein,core,other,NKFIDM_06147,KMIGAE_06147,ILIHOP_06147,cds-WP_082207634.1,no
group_2592,ABC transporter permease subunit,core,transport,NKFIDM_04072,KMIGAE_04072,ILIHOP_04072,cds-WP_036621851.1,no
group_2591,Formamidopyrimidine-DNA glycosylase,core,other,NKFIDM_03102,KMIGAE_03102,ILIHOP_03102,cds-WP_213510346.1,no
group_2590,MBL fold metallo-hydrolase,core,metabolism_enzyme,NKFIDM_02786,KMIGAE_02786,ILIHOP_02786,cds-WP_051985499.1,no
fdhD,formate dehydrogenase accessory sulfurtransferase FdhD,core,metabolism_enzyme,NKFIDM_01965,KMIGAE_01965,ILIHOP_01965,cds-WP_240752535.1,no
iolB,5-deoxy-glucuronate isomerase,core,metabolism_enzyme,NKFIDM_01945,KMIGAE_01945,ILIHOP_01945,cds-WP_124331647.1,no
speD,adenosylmethionine decarboxylase,core,other,NKFIDM_01714,KMIGAE_01714,ILIHOP_01714,cds-WP_036624997.1,no
group_2588,DUF2935 domain-containing protein,core,hypothetical_DUF,NKFIDM_00759,KMIGAE_00759,ILIHOP_00759,cds-WP_036626429.1,no
group_2587,Acetyltransferase domain protein,core,metabolism_enzyme,NKFIDM_00571,KMIGAE_00571,ILIHOP_00571,cds-WP_155620724.1,no
atpB,F0F1 ATP synthase subunit A,core,metabolism_enzyme,NKFIDM_05991,KMIGAE_05991,ILIHOP_05991,cds-WP_124333300.1,no
group_2585,3'-phosphoadenosine 5'-phosphosulfate sulfotransferase,core,metabolism_enzyme,NKFIDM_05627,KMIGAE_05627,ILIHOP_05627,cds-WP_240751957.1,no
group_2584,RQC domain protein,core,other,NKFIDM_05294,KMIGAE_05294,ILIHOP_05294,cds-WP_124333145.1,no
group_2583,Leucine-rich repeat domain-containing protein,core,other,NKFIDM_04632,KMIGAE_04632,ILIHOP_04632,cds-WP_036620945.1,no
group_2582,Putative lipoprotein,core,other,NKFIDM_04611,KMIGAE_04611,ILIHOP_04611,cds-WP_036620979.1,no
trpA,tryptophan synthase subunit alpha,core,metabolism_enzyme,NKFIDM_03990,KMIGAE_03990,ILIHOP_03990,cds-WP_036621945.1,no
flgG,flagellar basal body rod protein FlgG,core,cell_envelope_motility,NKFIDM_03783,KMIGAE_03783,ILIHOP_03783,cds-WP_036622260.1,no
group_2581,Methyltransferase domain protein,core,metabolism_enzyme,NKFIDM_02681,KMIGAE_02681,ILIHOP_02681,cds-WP_036623817.1,no
group_2580,ABC transporter permease subunit,core,transport,NKFIDM_02345,KMIGAE_02345,ILIHOP_02345,cds-WP_051985542.1,no
group_2579,Cof-type HAD-IIB family hydrolase,core,metabolism_enzyme,NKFIDM_02150,KMIGAE_02150,ILIHOP_02150,cds-WP_036628462.1,no
group_2578,DUF4367 domain-containing protein,core,hypothetical_DUF,NKFIDM_01905,KMIGAE_01905,ILIHOP_01905,cds-WP_036624554.1,no
group_2577,ABC transporter permease subunit,core,transport,NKFIDM_01571,KMIGAE_01571,ILIHOP_01571,cds-WP_036625233.1,no
group_2576,Methyl-accepting chemotaxis (MCP) signaling domain protein,core,cell_envelope_motility,NKFIDM_01312,KMIGAE_01312,ILIHOP_01312,cds-WP_036625624.1,no
group_2575,ABC transporter permease subunit,core,transport,NKFIDM_00897,KMIGAE_00897,ILIHOP_00897,cds-WP_036626276.1,no
group_2574,Alkaline phosphatase family protein,core,metabolism_enzyme,NKFIDM_00418,KMIGAE_00418,ILIHOP_00418,cds-WP_155619751.1,no
noc,nucleoid occlusion protein,core,other,NKFIDM_06686,KMIGAE_06686,ILIHOP_06686,cds-WP_036618231.1,no
group_2573,ABC transporter permease subunit,core,transport,NKFIDM_06396,KMIGAE_06396,ILIHOP_06396,cds-WP_036618764.1,no
group_2572,Aldo/keto reductase family protein,core,metabolism_enzyme,NKFIDM_06183,KMIGAE_06183,ILIHOP_06183,cds-WP_240752169.1,no
group_2571,Flagellar hook-basal body complex protein,core,cell_envelope_motility,NKFIDM_05974,KMIGAE_05974,ILIHOP_05974,cds-WP_036619258.1,no
group_2570,flagellar motor protein,core,cell_envelope_motility,NKFIDM_05858,KMIGAE_05858,ILIHOP_05858,cds-WP_036619403.1,no
group_2569,archaetidylserine decarboxylase,core,other,NKFIDM_05135,KMIGAE_05135,ILIHOP_05135,cds-WP_124333095.1,no
group_2568,DUF2157 domain-containing protein,core,hypothetical_DUF,NKFIDM_04379,KMIGAE_04379,ILIHOP_04379,cds-WP_124333040.1,no
group_2567,AraC family transcriptional regulator,core,regulatory,NKFIDM_04173,KMIGAE_04173,ILIHOP_04173,cds-WP_036621661.1,no
group_2566,L-arabinose transport system permease protein AraP,core,transport,NKFIDM_03354,KMIGAE_03354,ILIHOP_03354,cds-WP_227872749.1,no
group_2565,ABC transmembrane type-1 domain-containing protein,core,other,NKFIDM_02695,KMIGAE_02695,ILIHOP_02695,cds-WP_036623806.1,no
group_2564,Peptidase C39 like family protein,core,metabolism_enzyme,NKFIDM_02560,KMIGAE_02560,ILIHOP_02560,cds-WP_240751639.1,no
group_2563,ABC transporter permease subunit,core,transport,NKFIDM_02085,KMIGAE_02085,ILIHOP_02085,cds-WP_036624303.1,no
group_2562,ABC transporter permease subunit,core,transport,NKFIDM_01505,KMIGAE_01505,ILIHOP_01505,cds-WP_036625367.1,no
group_2561,Helix-turn-helix family protein,core,other,NKFIDM_01321,KMIGAE_01321,ILIHOP_01321,cds-WP_036625614.1,no
group_2560,Alpha/beta fold hydrolase,core,metabolism_enzyme,NKFIDM_01089,KMIGAE_01089,ILIHOP_01089,cds-WP_036625818.1,no
group_2559,Cupin domain protein,core,other,NKFIDM_01055,KMIGAE_01055,ILIHOP_01055,cds-WP_124333581.1,no
group_2558,Methionine ABC transporter substrate-binding protein,core,transport,NKFIDM_00928,KMIGAE_00928,ILIHOP_00928,cds-WP_036626229.1,no
group_2557,Oxidoreductase,core,metabolism_enzyme,NKFIDM_00794,KMIGAE_00794,ILIHOP_00794,cds-WP_051985727.1,no
tatD,TatD related DNase family protein,core,other,NKFIDM_00688,KMIGAE_00688,ILIHOP_00688,cds-WP_124332795.1,no
group_2555,carbohydrate ABC transporter permease,core,transport,NKFIDM_00836,KMIGAE_00836,ILIHOP_00836,cds-WP_036626368.1,no
group_2554,Microbial-type PARG catalytic domain-containing protein,core,other,NKFIDM_06484,KMIGAE_06484,ILIHOP_06484,cds-WP_036618600.1,no
group_2553,uroporphyrinogen-III synthase,core,metabolism_enzyme,NKFIDM_06141,KMIGAE_06141,ILIHOP_06141,cds-WP_036619154.1,no
group_2552,Levansucrase and sucrase synthesis operon antiterminator,core,other,NKFIDM_05862,KMIGAE_05862,ILIHOP_05862,cds-WP_036619394.1,no
group_2551,Cupin domain protein,core,other,NKFIDM_04484,KMIGAE_04484,ILIHOP_04484,cds-WP_036621157.1,no
group_2550,ABC transporter permease subunit,core,transport,NKFIDM_04155,KMIGAE_04155,ILIHOP_04155,cds-WP_036621683.1,no
spoIIIAF,stage III sporulation protein AF,core,sporulation,NKFIDM_04127,KMIGAE_04127,ILIHOP_04127,cds-WP_036621741.1,no
group_2549,purine-nucleoside phosphorylase,core,other,NKFIDM_04087,KMIGAE_04087,ILIHOP_04087,cds-WP_124332635.1,no
group_2548,Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase,core,metabolism_enzyme,NKFIDM_03982,KMIGAE_03982,ILIHOP_03982,cds-WP_036621952.1,no
group_2547,Cyclic nucleotide-binding domain-containing protein,core,other,NKFIDM_03673,KMIGAE_03673,ILIHOP_03673,cds-WP_036622464.1,no
group_2545,ABC transporter permease,core,transport,NKFIDM_02408,KMIGAE_02408,ILIHOP_02408,cds-WP_082207834.1,no
group_2544,DUF2179 domain-containing protein,core,hypothetical_DUF,NKFIDM_02123,KMIGAE_02123,ILIHOP_02123,cds-WP_036624263.1,no
group_2543,undecaprenyl-diphosphate phosphatase,core,metabolism_enzyme,NKFIDM_01877,KMIGAE_01877,ILIHOP_01877,cds-WP_036624756.1,no
group_2542,Helix-turn-helix domain protein,core,other,NKFIDM_01408,KMIGAE_01408,ILIHOP_01408,cds-WP_036625524.1,no
group_2540,BglG family transcription antiterminator LicT,core,other,NKFIDM_00412,KMIGAE_00412,ILIHOP_00412,cds-WP_124333413.1,no
group_2538,DUF692 domain-containing protein,core,hypothetical_DUF,NKFIDM_00314,KMIGAE_00314,ILIHOP_00314,cds-WP_124333600.1,no
speE,polyamine aminopropyltransferase,core,metabolism_enzyme,NKFIDM_00135,KMIGAE_00135,ILIHOP_00135,cds-WP_036618018.1,no
group_2537,RNA polymerase sigma factor sigma-70 family protein,core,regulatory,NKFIDM_00107,KMIGAE_00107,ILIHOP_00107,cds-WP_170180062.1,no
group_2536,TIM barrel protein,core,other,NKFIDM_06463,KMIGAE_06463,ILIHOP_06463,cds-WP_036618644.1,no
group_2535,ABC transporter permease subunit,core,transport,NKFIDM_06224,KMIGAE_06224,ILIHOP_06224,cds-WP_240752175.1,no
group_2534,ABC transporter permease subunit,core,transport,NKFIDM_06216,KMIGAE_06216,ILIHOP_06216,cds-WP_036619065.1,no
rplB,50S ribosomal protein L2,core,ribosomal_translation,NKFIDM_05747,KMIGAE_05747,ILIHOP_05747,cds-WP_240752093.1,no
cdaA,diadenylate cyclase CdaA,core,other,NKFIDM_05691,KMIGAE_05691,ILIHOP_05691,cds-WP_155621536.1,no
group_2533,Sugar ABC transporter ATP-binding protein,core,transport,NKFIDM_03353,KMIGAE_03353,ILIHOP_03353,cds-WP_036622854.1,no
group_2532,ABC transporter family protein,core,transport,NKFIDM_03074,KMIGAE_03074,ILIHOP_03074,cds-WP_213510341.1,no
group_2531,Helix-turn-helix domain protein,core,other,NKFIDM_02857,KMIGAE_02857,ILIHOP_02857,cds-WP_036623649.1,no
group_2530,ABC transporter permease subunit,core,transport,NKFIDM_02607,KMIGAE_02607,ILIHOP_02607,cds-WP_036623903.1,no
group_2529,Sugar ABC transporter ATP-binding protein,core,transport,NKFIDM_02263,KMIGAE_02263,ILIHOP_02263,cds-WP_036624077.1,no
group_2528,ABC transporter permease subunit,core,transport,NKFIDM_01487,KMIGAE_01487,ILIHOP_01487,cds-WP_036625396.1,no
group_2527,BglG family transcription antiterminator LicT,core,other,NKFIDM_00718,KMIGAE_00718,ILIHOP_00718,cds-WP_124332787.1,no
cysT,sulfate ABC transporter permease subunit CysT,core,transport,NKFIDM_00705,KMIGAE_00705,ILIHOP_00705,cds-WP_155621587.1,no
group_2526,ABC transporter permease subunit,core,transport,NKFIDM_00682,KMIGAE_00682,ILIHOP_00682,cds-WP_036626501.1,no
group_2525,AAA domain protein,core,other,NKFIDM_00467,KMIGAE_00467,ILIHOP_00467,cds-WP_036626786.1,no
group_2524,DUF975 domain-containing protein,core,hypothetical_DUF,NKFIDM_00129,KMIGAE_00129,ILIHOP_00129,cds-WP_036618029.1,no
group_2523,CheR family methyltransferase,core,metabolism_enzyme,NKFIDM_03999,KMIGAE_03999,ILIHOP_03999,cds-WP_155619867.1,no
group_2522,ABC transporter permease subunit,core,transport,NKFIDM_06297,KMIGAE_06297,ILIHOP_06297,cds-WP_036618944.1,no
group_2521,Binding--dependent transport system inner membrane component family protein,core,other,NKFIDM_05999,KMIGAE_05999,ILIHOP_05999,cds-WP_371861047.1,no
group_2520,ABC transporter permease subunit,core,transport,NKFIDM_05600,KMIGAE_05600,ILIHOP_05600,cds-WP_036619647.1,no
